system:index,centroid_lat,centroid_lon,ndvi,year,.geo
0_59,-28.486500010141594,-53.9975000000218,7649.470175438597,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.491000000000003],[-53.993,-28.490999999999996],[-53.993,-28.482000000000003],[-54.002,-28.482000000000003],[-54.002,-28.491000000000003]]]}"
0_60,-28.477500010150898,-53.997500000046585,7758.121134230926,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.482000000000003],[-53.993,-28.482000000000003],[-53.993,-28.472999999999995],[-54.002,-28.473000000000003],[-54.002,-28.482000000000003]]]}"
0_61,-28.46850001015975,-53.99750000005001,7273.023174214608,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.473000000000003],[-53.993,-28.472999999999995],[-53.993,-28.464000000000002],[-54.002,-28.464000000000002],[-54.002,-28.473000000000003]]]}"
0_62,-28.45950001016657,-53.9975000000338,7521.366625866992,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.464000000000002],[-53.993,-28.464000000000002],[-53.993,-28.45499999999999],[-54.002,-28.455],[-54.002,-28.464000000000002]]]}"
0_63,-28.450500010167655,-53.99750000003189,8013.806527947775,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.455],[-53.993,-28.45499999999999],[-53.993,-28.445999999999998],[-54.002,-28.445999999999998],[-54.002,-28.455]]]}"
0_64,-28.441500010264754,-53.99750000003758,8378.6517747858,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.446000000000005],[-53.993,-28.445999999999998],[-53.993,-28.436999999999994],[-54.002,-28.437],[-54.002,-28.446000000000005]]]}"
0_65,-28.432500010178543,-53.99750000001536,8412.512974296204,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.437],[-53.993,-28.436999999999994],[-53.993,-28.428],[-54.002,-28.428],[-54.002,-28.437]]]}"
0_66,-28.423500010190182,-53.99750000001264,7866.752345981232,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.428],[-53.993,-28.428],[-53.993,-28.418999999999997],[-54.002,-28.419000000000004],[-54.002,-28.428]]]}"
0_67,-28.414500010217626,-53.99750000002273,7550.739820481435,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.419000000000004],[-53.993,-28.418999999999997],[-53.993,-28.41],[-54.002,-28.41],[-54.002,-28.419000000000004]]]}"
0_68,-28.405500010254116,-53.99750000001524,7834.693472052223,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.41],[-53.993,-28.41],[-53.993,-28.401000000000003],[-54.002,-28.401000000000003],[-54.002,-28.41]]]}"
0_69,-28.396500010225456,-53.997500000005424,7675.370461036312,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.401000000000003],[-53.993,-28.401000000000003],[-53.993,-28.391999999999996],[-54.002,-28.391999999999996],[-54.002,-28.401000000000003]]]}"
0_70,-28.38750001023823,-53.99750000000014,7639.062382700938,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.391999999999996],[-53.993,-28.391999999999996],[-53.99300000000001,-28.383],[-54.002,-28.383],[-54.002,-28.391999999999996]]]}"
0_71,-28.378500010279005,-53.99749999999599,7605.668665850676,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.383],[-53.99300000000001,-28.383],[-53.993,-28.374],[-54.002,-28.374],[-54.002,-28.383]]]}"
0_72,-28.36950001024073,-53.99749999999475,7466.12155745489,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.374],[-53.993,-28.374],[-53.993,-28.365],[-54.002,-28.365],[-54.002,-28.374]]]}"
0_73,-28.360500010267614,-53.99750000000834,7529.953622124326,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.365],[-53.993,-28.365],[-53.993,-28.355999999999995],[-54.002,-28.356],[-54.002,-28.365]]]}"
0_74,-28.351500010297276,-53.99750000000128,7281.665687714146,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.356],[-53.993,-28.356],[-53.993,-28.347],[-54.002,-28.347000000000005],[-54.002,-28.356]]]}"
0_75,-28.34250001028771,-53.99749999998881,7080.881750693426,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.347000000000005],[-53.993,-28.347],[-53.993,-28.338],[-54.002,-28.338],[-54.002,-28.347000000000005]]]}"
0_76,-28.333500010262668,-53.9974999999913,7190.739476260402,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.338],[-53.993,-28.338],[-53.993,-28.329000000000004],[-54.002,-28.329000000000004],[-54.002,-28.338]]]}"
0_77,-28.324500010309606,-53.99750000001556,7355.657815304291,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.329000000000004],[-53.993,-28.329000000000004],[-53.993,-28.32],[-54.002,-28.32],[-54.002,-28.329000000000004]]]}"
0_78,-28.315500010329323,-53.99750000004476,7508.703173437754,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.32],[-53.993,-28.32],[-53.993,-28.311],[-54.002,-28.311000000000003],[-54.002,-28.32]]]}"
0_79,-28.30650001038633,-53.99750000004847,7809.143294175233,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.311000000000003],[-53.993,-28.311],[-53.993,-28.301999999999992],[-54.002,-28.302],[-54.002,-28.311000000000003]]]}"
0_80,-28.297500010294534,-53.99750000004706,8141.841124163812,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.302],[-53.993,-28.301999999999992],[-53.993,-28.293],[-54.002,-28.293],[-54.002,-28.302]]]}"
0_81,-28.288500010359108,-53.99750000003718,7702.775289606787,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.293],[-53.993,-28.293],[-53.993,-28.284],[-54.002,-28.284],[-54.002,-28.293]]]}"
0_82,-28.279500010305362,-53.99750000001215,7592.572116169032,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.284],[-53.993,-28.284],[-53.993,-28.275000000000002],[-54.002,-28.275],[-54.002,-28.284]]]}"
0_83,-28.27050001034929,-53.99750000002442,7244.088391254692,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.275],[-53.993,-28.275000000000002],[-53.993,-28.26599999999999],[-54.002,-28.266],[-54.002,-28.275]]]}"
0_84,-28.261500010410252,-53.997500000052035,7271.5213330070155,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.266],[-53.993,-28.26599999999999],[-53.993,-28.256999999999998],[-54.002,-28.257],[-54.002,-28.266]]]}"
0_85,-28.25250001038966,-53.99750000000551,7280.940243106543,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.257000000000005],[-53.993,-28.257000000000005],[-53.993,-28.248],[-54.002,-28.248],[-54.002,-28.257000000000005]]]}"
0_86,-28.24350001037555,-53.99750000001501,7587.4191548376575,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.002,-28.248],[-53.993,-28.248],[-53.993,-28.239],[-54.002,-28.239],[-54.002,-28.248]]]}"
0_87,-28.49550001014535,-53.988500000000144,7337.55550114267,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.5],[-53.984,-28.5],[-53.983999999999995,-28.490999999999996],[-53.993,-28.490999999999996],[-53.993,-28.5]]]}"
0_88,-28.48650001013886,-53.98850000000139,7770.668054195234,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.490999999999996],[-53.983999999999995,-28.490999999999996],[-53.984,-28.482000000000003],[-53.993,-28.482000000000003],[-53.993,-28.490999999999996]]]}"
0_89,-28.47750001015183,-53.98849999997426,7756.881080639896,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.482000000000003],[-53.984,-28.482000000000003],[-53.984,-28.472999999999995],[-53.993,-28.472999999999995],[-53.993,-28.482000000000003]]]}"
0_90,-28.46850001015524,-53.98849999996619,7295.898139079335,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.472999999999995],[-53.984,-28.472999999999995],[-53.984,-28.464000000000002],[-53.993,-28.464000000000002],[-53.993,-28.472999999999995]]]}"
0_91,-28.45950001016841,-53.98849999997892,7398.0796604636,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.464000000000002],[-53.984,-28.464000000000002],[-53.984,-28.455],[-53.993,-28.45499999999999],[-53.993,-28.464000000000002]]]}"
0_92,-28.450500010170664,-53.988499999987084,7954.843046033301,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.45499999999999],[-53.984,-28.455],[-53.984,-28.445999999999998],[-53.993,-28.445999999999998],[-53.993,-28.45499999999999]]]}"
0_93,-28.441500010266324,-53.98849999998731,7863.873449232779,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.445999999999998],[-53.984,-28.446000000000005],[-53.984,-28.437],[-53.993,-28.436999999999994],[-53.993,-28.445999999999998]]]}"
